"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14"
"Acropora",0.192280670296554,0.833578004365987,0.189030345345943,NA,NA,0.273882890803558,0.321109002246485,0.125487437589316,0.158052283632432,NA,NA,NA,NA,NA
"Cyano_matrix",0.402517888327126,-0.153875736146006,-0.256262848675563,-0.591043187634935,0.483279601211303,NA,0.122182795822256,NA,0.375233357639655,NA,NA,NA,NA,NA
"Hard_coral",NA,NA,NA,NA,NA,NA,NA,-0.100074734795843,NA,-0.718890933753515,0.369790486434037,0.206813149991057,0.225772222876235,0.485477853222057
"Lyngbya",-0.866120443252674,0.157737081506404,-0.243734030157939,-0.150460909947331,0.31598499886678,NA,0.163996150578375,NA,0.121452452094158,NA,NA,NA,NA,NA
"Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,-0.137710757122472,0.315025733901548,-0.24972107450558,-0.139129125670693,-0.314407499696657,0.833430826857176
"Montipora",NA,-0.263717007336759,-0.529596120675374,0.517338992206343,NA,0.408830428062517,0.304278166615854,0.328663882251898,NA,NA,NA,NA,NA,NA
"Other_benthic_invert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.624532048978305,0.325460871851609,0.698476752898424,0.103428587811929
"Other_branching",NA,NA,NA,0.493447767207649,0.165830125525359,-0.260021921094303,NA,-0.488277753398898,0.6396063003064,NA,NA,NA,NA,NA
"Other_calcifier",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.608808829350135,0.635374143771109,0.252068019188156,0.372787301481018,0.13854735746618
"Other_substrate",NA,NA,NA,NA,-0.460584651584616,-0.52344549095305,0.2473011998324,0.52790947262017,0.37602841072524,NA,NA,NA,NA,0.104140606441635
"Sediment",-0.141441397660963,-0.231122057066364,0.182960390362633,-0.288620193212668,-0.510967694304624,0.535785081366285,0.25142788250396,-0.333156939422296,0.291152805935503,NA,NA,NA,NA,NA
"Soft_coral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.872414501773272,0.470001788786772,NA
"Turf",NA,NA,NA,NA,NA,0.322420234802727,-0.773215174572439,0.341972517623013,0.394831695647001,NA,NA,NA,NA,NA
"Turf_sediment_matrix",-0.101678719991267,-0.350727892143891,0.721247632200034,0.132064506782227,0.397004953533683,0.140478938470727,0.178278913265935,0.340602448000994,NA,NA,NA,NA,NA,NA
